panel,category,category_index,group,category_center_px,bar_center_px,bar_left_px,bar_right_px,top_y_px,bottom_y_px,baseline_y_px,value,pixel_uncertainty,value_uncertainty_from_pixels,errorbar_upper_px,errorbar_value_from_pixels,errorbar_detection,mean_r,mean_g,mean_b,confidence,baseline_visibility,baseline_contact_observed,occlusion_evidence_groups,occlusion_evidence,source_strategy
P1,5,5,F,191.667,200.834,197,205,119,144,146.0,15.766423,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":118,""bottom_y_px"":120,""left_x_px"":199,""right_x_px"":202,""detection_method"":""achromatic_or_contrast_component_above_fill""}",194.115,181.313,212.291,0.88,visible,True,,[],digitized_raster
P2,1,1,B,265.833,265.5,254,277,52,103,146.0,54.890511,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":49,""bottom_y_px"":53,""left_x_px"":265,""right_x_px"":267,""detection_method"":""achromatic_or_contrast_component_above_fill""}",236.165,213.621,253.616,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":103,""bridge_top_y_px"":52,""bridge_bottom_y_px"":144,""overlap_left_px"":258,""overlap_right_px"":274},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":103,""bridge_top_y_px"":52,""bridge_bottom_y_px"":144,""overlap_left_px"":262,""overlap_right_px"":270}]",digitized_raster
P2,1,1,D,265.833,266.0,258,274,103,128,146.0,25.109489,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":101,""bottom_y_px"":104,""left_x_px"":265,""right_x_px"":267,""detection_method"":""achromatic_or_contrast_component_above_fill""}",217.586,165.173,251.636,0.7,occluded_by_front_groups,False,F,"[{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":128,""bridge_top_y_px"":103,""bridge_bottom_y_px"":144,""overlap_left_px"":262,""overlap_right_px"":270}]",digitized_raster
P2,1,1,F,265.833,266.0,262,270,130,144,146.0,9.343066,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":128,""bottom_y_px"":130,""left_x_px"":265,""right_x_px"":267,""detection_method"":""achromatic_or_contrast_component_above_fill""}",149.848,65.492,179.076,0.88,visible,True,,[],digitized_raster
P2,2,2,B,299.833,299.5,288,311,38,86,146.0,63.065693,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":36,""bottom_y_px"":39,""left_x_px"":299,""right_x_px"":301,""detection_method"":""achromatic_or_contrast_component_above_fill""}",236.189,213.847,253.787,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":86,""bridge_top_y_px"":38,""bridge_bottom_y_px"":144,""overlap_left_px"":292,""overlap_right_px"":308},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":86,""bridge_top_y_px"":38,""bridge_bottom_y_px"":144,""overlap_left_px"":296,""overlap_right_px"":304}]",digitized_raster
P2,2,2,D,299.833,300.0,292,308,86,125,146.0,35.036496,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":84,""bottom_y_px"":87,""left_x_px"":299,""right_x_px"":301,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.76,164.705,250.902,0.7,occluded_by_front_groups,False,F,"[{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":125,""bridge_top_y_px"":86,""bridge_bottom_y_px"":144,""overlap_left_px"":296,""overlap_right_px"":304}]",digitized_raster
P2,2,2,F,299.833,300.0,296,304,126,144,146.0,11.678832,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":125,""bottom_y_px"":126,""left_x_px"":299,""right_x_px"":301,""detection_method"":""achromatic_or_contrast_component_above_fill""}",149.771,66.188,178.082,0.88,visible,True,,[],digitized_raster
P2,3,3,B,333.833,333.5,322,345,74,98,146.0,42.043796,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":72,""bottom_y_px"":75,""left_x_px"":333,""right_x_px"":335,""detection_method"":""achromatic_or_contrast_component_above_fill""}",235.574,214.378,253.764,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":98,""bridge_top_y_px"":74,""bridge_bottom_y_px"":144,""overlap_left_px"":326,""overlap_right_px"":342},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":98,""bridge_top_y_px"":74,""bridge_bottom_y_px"":144,""overlap_left_px"":330,""overlap_right_px"":338}]",digitized_raster
P2,3,3,D,333.833,334.0,326,342,98,132,146.0,28.029197,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":96,""bottom_y_px"":99,""left_x_px"":333,""right_x_px"":335,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.708,164.133,250.974,0.7,occluded_by_front_groups,False,F,"[{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":132,""bridge_top_y_px"":98,""bridge_bottom_y_px"":144,""overlap_left_px"":330,""overlap_right_px"":338}]",digitized_raster
P2,3,3,F,333.833,334.0,330,338,133,144,146.0,7.591241,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":132,""bottom_y_px"":133,""left_x_px"":333,""right_x_px"":335,""detection_method"":""achromatic_or_contrast_component_above_fill""}",149.2,65.8,179.181,0.88,visible,True,,[],digitized_raster
P2,4,4,B,368.0,367.667,356,379,29,110,146.0,68.321168,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":27,""bottom_y_px"":30,""left_x_px"":367,""right_x_px"":369,""detection_method"":""achromatic_or_contrast_component_above_fill""}",236.111,214.168,254.104,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":110,""bridge_top_y_px"":30,""bridge_bottom_y_px"":144,""overlap_left_px"":360,""overlap_right_px"":376},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":110,""bridge_top_y_px"":30,""bridge_bottom_y_px"":144,""overlap_left_px"":364,""overlap_right_px"":372}]",digitized_raster
P2,4,4,D,368.0,368.167,360,376,110,123,146.0,21.021898,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":109,""bottom_y_px"":111,""left_x_px"":367,""right_x_px"":369,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.095,165.407,250.364,0.7,occluded_by_front_groups,False,F,"[{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":123,""bridge_top_y_px"":110,""bridge_bottom_y_px"":144,""overlap_left_px"":364,""overlap_right_px"":372}]",digitized_raster
P2,4,4,F,368.0,368.167,364,372,124,144,146.0,12.846715,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":122,""bottom_y_px"":125,""left_x_px"":367,""right_x_px"":369,""detection_method"":""achromatic_or_contrast_component_above_fill""}",151.032,67.238,178.854,0.88,visible,True,,[],digitized_raster
P2,5,5,B,402.167,401.834,390,413,31,94,146.0,67.153285,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":29,""bottom_y_px"":32,""left_x_px"":401,""right_x_px"":403,""detection_method"":""achromatic_or_contrast_component_above_fill""}",236.471,214.324,254.475,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":94,""bridge_top_y_px"":31,""bridge_bottom_y_px"":144,""overlap_left_px"":394,""overlap_right_px"":410},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":94,""bridge_top_y_px"":31,""bridge_bottom_y_px"":144,""overlap_left_px"":398,""overlap_right_px"":406}]",digitized_raster
P2,5,5,D,402.167,402.334,394,410,95,118,146.0,29.781022,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":93,""bottom_y_px"":96,""left_x_px"":401,""right_x_px"":403,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.367,164.082,250.431,0.7,occluded_by_front_groups,False,F,"[{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":118,""bridge_top_y_px"":95,""bridge_bottom_y_px"":144,""overlap_left_px"":398,""overlap_right_px"":406}]",digitized_raster
P2,5,5,F,402.167,402.334,398,406,119,144,146.0,15.766423,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":118,""bottom_y_px"":119,""left_x_px"":401,""right_x_px"":403,""detection_method"":""achromatic_or_contrast_component_above_fill""}",152.169,64.654,179.641,0.88,visible,True,,[],digitized_raster
P3,1,1,B,477.833,478.0,466,489,52,127,146.0,54.890511,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":49,""bottom_y_px"":53,""left_x_px"":475,""right_x_px"":477,""detection_method"":""achromatic_or_contrast_component_above_fill""}",236.207,213.626,254.163,0.6708,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":127,""bridge_top_y_px"":52,""bridge_bottom_y_px"":144,""overlap_left_px"":470,""overlap_right_px"":478},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":127,""bridge_top_y_px"":52,""bridge_bottom_y_px"":144,""overlap_left_px"":478,""overlap_right_px"":485}]",digitized_raster
P3,1,1,D,477.833,473.5,470,478,106,144,146.0,23.357664,1.0,0.583942,5,2.919708,"{""upper_extent_px"":5,""top_y_px"":101,""bottom_y_px"":105,""left_x_px"":471,""right_x_px"":473,""detection_method"":""achromatic_or_contrast_component_above_fill""}",217.621,163.217,250.375,0.7244,visible,True,,[],digitized_raster
P3,1,1,F,477.833,482.0,478,485,130,144,146.0,9.343066,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":128,""bottom_y_px"":130,""left_x_px"":480,""right_x_px"":481,""detection_method"":""achromatic_or_contrast_component_above_fill""}",158.757,86.796,176.874,0.7925,visible,True,,[],digitized_raster
P3,2,2,B,510.333,510.5,499,522,38,125,146.0,63.065693,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":36,""bottom_y_px"":39,""left_x_px"":509,""right_x_px"":512,""detection_method"":""achromatic_or_contrast_component_above_fill""}",235.647,214.178,253.62,0.6562,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":125,""bridge_top_y_px"":38,""bridge_bottom_y_px"":144,""overlap_left_px"":502,""overlap_right_px"":510},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":125,""bridge_top_y_px"":38,""bridge_bottom_y_px"":144,""overlap_left_px"":511,""overlap_right_px"":518}]",digitized_raster
P3,2,2,D,510.333,506.0,502,510,86,144,146.0,35.036496,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":84,""bottom_y_px"":87,""left_x_px"":505,""right_x_px"":507,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.62,165.173,250.539,0.88,visible,True,,[],digitized_raster
P3,2,2,F,510.333,514.5,511,518,126,144,146.0,11.678832,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":125,""bottom_y_px"":126,""left_x_px"":514,""right_x_px"":515,""detection_method"":""achromatic_or_contrast_component_above_fill""}",159.22,87.84,180.367,0.88,visible,True,,[],digitized_raster
P3,3,3,B,544.333,544.5,533,556,74,131,146.0,42.043796,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":72,""bottom_y_px"":75,""left_x_px"":543,""right_x_px"":546,""detection_method"":""achromatic_or_contrast_component_above_fill""}",235.51,214.141,253.503,0.4375,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":131,""bridge_top_y_px"":74,""bridge_bottom_y_px"":144,""overlap_left_px"":536,""overlap_right_px"":544},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":131,""bridge_top_y_px"":74,""bridge_bottom_y_px"":144,""overlap_left_px"":545,""overlap_right_px"":552}]",digitized_raster
P3,3,3,D,544.333,540.0,536,544,98,144,146.0,28.029197,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":96,""bottom_y_px"":99,""left_x_px"":539,""right_x_px"":541,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.498,166.236,249.877,0.88,visible,True,,[],digitized_raster
P3,3,3,F,544.333,548.5,545,552,133,144,146.0,7.591241,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":132,""bottom_y_px"":133,""left_x_px"":548,""right_x_px"":549,""detection_method"":""achromatic_or_contrast_component_above_fill""}",159.851,86.521,179.255,0.88,visible,True,,[],digitized_raster
P3,4,4,B,578.333,578.5,567,590,29,123,146.0,68.321168,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":27,""bottom_y_px"":30,""left_x_px"":577,""right_x_px"":579,""detection_method"":""achromatic_or_contrast_component_above_fill""}",236.016,213.611,253.632,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":123,""bridge_top_y_px"":30,""bridge_bottom_y_px"":144,""overlap_left_px"":570,""overlap_right_px"":578},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":123,""bridge_top_y_px"":30,""bridge_bottom_y_px"":144,""overlap_left_px"":579,""overlap_right_px"":586}]",digitized_raster
P3,4,4,D,578.333,574.0,570,578,110,144,146.0,21.021898,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":109,""bottom_y_px"":111,""left_x_px"":573,""right_x_px"":575,""detection_method"":""achromatic_or_contrast_component_above_fill""}",217.573,166.147,248.876,0.88,visible,True,,[],digitized_raster
P3,4,4,F,578.333,582.5,579,586,124,144,146.0,12.846715,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":123,""bottom_y_px"":124,""left_x_px"":582,""right_x_px"":583,""detection_method"":""achromatic_or_contrast_component_above_fill""}",161.019,86.969,179.648,0.88,visible,True,,[],digitized_raster
P3,5,5,B,612.333,612.5,601,624,31,118,146.0,67.153285,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":29,""bottom_y_px"":32,""left_x_px"":611,""right_x_px"":614,""detection_method"":""achromatic_or_contrast_component_above_fill""}",235.633,213.492,254.408,0.7,occluded_by_front_groups,False,D|F,"[{""group"":""D"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":118,""bridge_top_y_px"":31,""bridge_bottom_y_px"":144,""overlap_left_px"":604,""overlap_right_px"":612},{""group"":""F"",""evidence_type"":""current_color_edge_to_baseline"",""candidate_bottom_y_px"":118,""bridge_top_y_px"":31,""bridge_bottom_y_px"":144,""overlap_left_px"":613,""overlap_right_px"":620}]",digitized_raster
P3,5,5,D,612.333,608.0,604,612,95,144,146.0,29.781022,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":93,""bottom_y_px"":96,""left_x_px"":607,""right_x_px"":609,""detection_method"":""achromatic_or_contrast_component_above_fill""}",218.344,165.357,250.083,0.88,visible,True,,[],digitized_raster
P3,5,5,F,612.333,616.5,613,620,119,144,146.0,15.766423,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":118,""bottom_y_px"":119,""left_x_px"":616,""right_x_px"":617,""detection_method"":""achromatic_or_contrast_component_above_fill""}",159.427,87.951,180.432,0.88,visible,True,,[],digitized_raster
